ID,Soil,Day,Litter
H2_Bulk_Litter_10,Bulk,2,Litter
H2_Bulk_Litter_12,Bulk,2,Litter
H2_Bulk_Litter_11,Bulk,2,Litter
H3_Rhizo_Litter_13,Rhiz,3,Litter
H3_Rhizo_Litter_15,Rhiz,3,Litter
H3_Bulk_Litter_16,Bulk,3,Litter
H1_Bulk_Litter_4,Bulk,1,Litter
H1_Rhizo_Litter_3,Rhiz,1,Litter
H1_Rhizo_Litter_1,Rhiz,1,Litter
H1_Bulk_Litter_6,Bulk,1,Litter
H2_Rhizo_Litter_8,Rhiz,2,Litter
H2_Rhizo_Litter_7,Rhiz,2,Litter
H1_Rhizo_Litter_2,Rhiz,1,Litter
H1_Bulk_Litter_5,Bulk,1,Litter
H3_Rhizo_Litter_14,Rhiz,3,Litter
H3_Bulk_Litter_17,Bulk,3,Litter
H4_Rhizo_Litter_20,Rhiz,4,Litter
H4_Rhizo_Litter_19,Rhiz,4,Litter
H4_Bulk_Litter_22,Bulk,4,Litter
H4_Bulk_Litter_23,Bulk,4,Litter
H4_Bulk_Litter_24,Bulk,4,Litter
H1_Bulk_30,Bulk,1,None
H2_Bulk_35,Bulk,2,None
H2_Rhizo_31,Rhiz,2,None
H2_Rhizo_33,Rhiz,2,None
H3_Rhizo_37,Rhiz,3,None
H3_Rhizo_39,Rhiz,3,None
H2_Bulk_36,Bulk,2,None
H4_Rhizo_45,Rhiz,4,None
H4_Bulk_47,Bulk,4,None
H4_Bulk_48,Bulk,4,None
H1_Rhizo_27,Rhiz,1,None
H1_Rhizo_26,Rhiz,1,None
H1_Rhizo_25,Rhiz,1,None
H1_Bulk_28,Bulk,1,None
H2_Bulk_34,Bulk,2,None
H3_Bulk_40,Bulk,3,None
H3_Bulk_42,Bulk,3,None
H3_Bulk_41,Bulk,3,None
H4_Rhizo_44,Rhiz,4,None
H1_Bulk_29,Bulk,1,None
H2_Rhizo_32,Rhiz,2,None
H4_Rhizo_43,Rhiz,4,None
H4_Bulk_46,Bulk,4,None
H2_Rhizo_Litter_49,Rhiz,2,Litter
H2_Rhizo_Litter_9,Rhiz,2,Litter
H2_Bulk_Litter_50,Bulk,2,Litter
