	H2_Bulk_Litter_10	H2_Bulk_Litter_12	H2_Bulk_Litter_11	H3_Rhizo_Litter_13	H3_Rhizo_Litter_15	H3_Bulk_Litter_16	H1_Bulk_Litter_4	H1_Rhizo_Litter_3	H1_Rhizo_Litter_1	H1_Bulk_Litter_6	H2_Rhizo_Litter_8	H2_Rhizo_Litter_7	H1_Rhizo_Litter_2	H1_Bulk_Litter_5	H3_Rhizo_Litter_14	H3_Bulk_Litter_17	H4_Rhizo_Litter_20	H4_Rhizo_Litter_19	H4_Bulk_Litter_22	H4_Bulk_Litter_23	H4_Bulk_Litter_24	H1_Bulk_30	H2_Bulk_35	H2_Rhizo_31	H2_Rhizo_33	H3_Rhizo_37	H3_Rhizo_39	H2_Bulk_36	H4_Rhizo_45	H4_Bulk_47	H4_Bulk_48	H1_Rhizo_27	H1_Rhizo_26	H1_Rhizo_25	H1_Bulk_28	H2_Bulk_34	H3_Bulk_40	H3_Bulk_42	H3_Bulk_41	H4_Rhizo_44	H1_Bulk_29	H2_Rhizo_32	H4_Rhizo_43	H4_Bulk_46	H2_Rhizo_Litter_49	H2_Rhizo_Litter_9	H2_Bulk_Litter_50
AA1	2	16	24	238	207	7	15	9220	1179	0	3924	534	5686	7	298	13	272	179	29	144	5	6	12	2562	5194	3951	0	0	131	106	64	682	2351	8894	18	1	32	0	7	426	1	5514	257	19	3365	1093	35
AA2	310	696	358	1969	1350	344	192	39960	6375	205	21609	3503	22506	413	2932	431	3008	1592	423	294	602	421	262	16467	23982	14106	0	184	2256	222	244	3708	15156	32483	328	202	413	397	291	1293	362	23942	1773	278	9159	2461	364
AA3	1	9	2	0	6	7	1	104	35	9	39	14	46	6	5	3	9	11	3	4	3	3	0	60	52	12	0	2	30	12	10	18	22	81	14	4	1	10	3	4	2	37	10	3	26	32	0
AA4	52	112	60	64	46	52	29	214	58	42	68	19	99	62	160	56	81	115	75	118	81	39	67	91	112	47	0	18	90	34	58	131	102	119	67	60	33	19	90	49	71	96	105	85	134	10	124
AA5	0	0	0	0	0	0	0	6	8	0	22	0	4	0	0	0	0	0	1	0	0	0	0	2	13	20	0	0	0	1	2	3	3	8	0	0	0	3	0	0	0	8	0	2	2	5	0
AA6	79	140	65	238	174	86	90	2258	437	68	1459	367	1447	68	260	110	217	139	2	78	29	63	73	1309	1752	1963	0	40	193	35	17	494	1432	2005	45	53	49	46	50	48	83	1999	113	50	801	169	99
AA7	0	2	0	25	5	19	2	228	53	8	248	72	217	0	14	0	128	58	4	19	3	0	0	188	441	312	0	0	1	13	16	82	250	627	0	0	0	0	0	36	1	568	133	9	293	32	1
CBM1	308	278	52	4	2	21	94	121	363	530	103	80	150	278	43	119	26	325	72	12	40	2	40	0	2	18	0	0	260	16	4	3	11	12	2	13	0	0	5	27	21	10	43	6	274	0	136
CBM10	61	151	0	3	0	0	132	37	132	21	29	34	10	136	0	20	24	0	0	0	11	0	0	3	3	6	0	0	0	0	0	0	28	32	11	0	0	0	0	0	0	37	6	0	71	3	1
CBM11	209	308	143	66	210	60	55	300	220	118	350	31	195	246	121	1068	188	251	102	42	288	51	126	267	302	209	0	73	562	269	326	230	154	327	76	181	233	182	65	327	215	142	184	184	474	0	236
