          Class     ID
AA1       AA        AA1
AA2       AA        AA2
AA3       AA        AA3
AA4       AA        AA4
AA5       AA        AA5
AA6       AA        AA6
AA7       AA        AA7
CBM1      CB        CBM1
CBM10     CB        CBM10
CBM11     CB        CBM11
CBM12     CB        CBM12
CBM13     CB        CBM13
CBM14     CB        CBM14
CBM15     CB        CBM15
CBM16     CB        CBM16
CBM17     CB        CBM17
CBM18     CB        CBM18
CBM2      CB        CBM2
CBM20     CB        CBM20
CBM21     CB        CBM21
CBM22     CB        CBM22
CBM23     CB        CBM23
CBM24     CB        CBM24
CBM25     CB        CBM25
CBM26     CB        CBM26
CBM28     CB        CBM28
CBM3      CB        CBM3
CBM30     CB        CBM30
CBM32     CB        CBM32
CBM33     CB        CBM33
CBM34     CB        CBM34
CBM35     CB        CBM35
CBM36     CB        CBM36
CBM37     CB        CBM37
CBM38     CB        CBM38
CBM4      CB        CBM4
CBM40     CB        CBM40
CBM41     CB        CBM41
CBM42     CB        CBM42
CBM43     CB        CBM43
CBM44     CB        CBM44
CBM45     CB        CBM45
CBM46     CB        CBM46
CBM47     CB        CBM47
CBM48     CB        CBM48
CBM49     CB        CBM49
CBM5      CB        CBM5
CBM50     CB        CBM50
CBM51     CB        CBM51
CBM52     CB        CBM52
CBM53     CB        CBM53
CBM54     CB        CBM54
CBM56     CB        CBM56
CBM57     CB        CBM57
CBM58     CB        CBM58
CBM6      CB        CBM6
CBM60     CB        CBM60
CBM61     CB        CBM61
CBM62     CB        CBM62
CBM8      CB        CBM8
CBM9      CB        CBM9
CE1       CE        CE1
CE10      CE        CE10
CE11      CE        CE11
CE12      CE        CE12
CE13      CE        CE13
CE14      CE        CE14
CE15      CE        CE15
CE16      CE        CE16
CE2       CE        CE2
CE3       CE        CE3
CE4       CE        CE4
CE5       CE        CE5
CE6       CE        CE6
CE7       CE        CE7
CE8       CE        CE8
CE9       CE        CE9
GH1       GH        GH1
GH10      GH        GH10
GH100     GH        GH100
GH101     GH        GH101
GH102     GH        GH102
GH103     GH        GH103
GH104     GH        GH104
GH105     GH        GH105
GH106     GH        GH106
GH107     GH        GH107
GH108     GH        GH108
GH109     GH        GH109
GH11      GH        GH11
GH110     GH        GH110
GH111     GH        GH111
GH112     GH        GH112
GH113     GH        GH113
GH114     GH        GH114
GH115     GH        GH115
GH116     GH        GH116
GH117     GH        GH117
GH119     GH        GH119
GH12      GH        GH12
GH120     GH        GH120
GH121     GH        GH121
GH123     GH        GH123
GH124     GH        GH124
GH125     GH        GH125
GH127     GH        GH127
GH13      GH        GH13
GH14      GH        GH14
GH15      GH        GH15
GH16      GH        GH16
GH17      GH        GH17
GH18      GH        GH18
GH19      GH        GH19
GH2       GH        GH2
GH20      GH        GH20
GH22      GH        GH22
GH23      GH        GH23
GH24      GH        GH24
GH25      GH        GH25
GH26      GH        GH26
GH27      GH        GH27
GH28      GH        GH28
GH29      GH        GH29
GH3       GH        GH3
GH30      GH        GH30
GH31      GH        GH31
GH32      GH        GH32
GH33      GH        GH33
GH35      GH        GH35
GH36      GH        GH36
GH37      GH        GH37
GH38      GH        GH38
GH39      GH        GH39
GH4       GH        GH4
GH42      GH        GH42
GH43      GH        GH43
GH44      GH        GH44
GH45      GH        GH45
GH46      GH        GH46
GH47      GH        GH47
GH48      GH        GH48
GH49      GH        GH49
GH5       GH        GH5
GH50      GH        GH50
GH51      GH        GH51
GH52      GH        GH52
GH53      GH        GH53
GH54      GH        GH54
GH55      GH        GH55
GH56      GH        GH56
GH57      GH        GH57
